Федеральный округ;Субъект РФ;Денежные доходы в расчете на душу населения, руб.//месяц
Центральный федеральный округ;Белгородская область;28327
Центральный федеральный округ;Брянская область;25375
Центральный федеральный округ;Владимирская область;23732
Центральный федеральный округ;Воронежская область;30109
Центральный федеральный округ;Ивановская область;22560
Центральный федеральный округ;Калужская область;27550
Центральный федеральный округ;Костромская область;22466
Центральный федеральный округ;Курская область;25814
Центральный федеральный округ;Липецкая область;27657
Центральный федеральный округ;Московская область;37622
Центральный федеральный округ;Орловская область;22840
Центральный федеральный округ;Рязанская область;24219
Центральный федеральный округ;Смоленская область;24763
Центральный федеральный округ;Тамбовская область;25076
Центральный федеральный округ;Тверская область;23450
Центральный федеральный округ;Тульская область;26286
Центральный федеральный округ;Ярославская область;27369
Центральный федеральный округ;г. Москва;59898
Северо-Западный  федеральный округ;Республика Карелия;25734
Северо-Западный  федеральный округ;Республика Коми;33328
Северо-Западный  федеральный округ;Ненецкий автономный округ (НАО);70924
Северо-Западный  федеральный округ;Архангельская область без НАО;31145
Северо-Западный  федеральный округ;Вологодская область;25602
Северо-Западный  федеральный округ;Калининградская область;25897
Северо-Западный  федеральный округ;Ленинградская область;24719
Северо-Западный  федеральный округ;Мурманская область;36875
Северо-Западный  федеральный округ;Новгородская область;25780
Северо-Западный  федеральный округ;Псковская область;21726
Северо-Западный  федеральный округ;г. Cанкт-Петербург;39948
Южный федеральный округ;Республика Адыгея;22639
Южный федеральный округ;Республика Калмыкия;14216
Южный федеральный округ;Краснодарский край;31373
Южный федеральный округ;Астраханская область;24065
Южный федеральный округ;Волгоградская область;21724
Южный федеральный округ;Ростовская область;26546
Северо-Кавказский федеральный округ;Республика Дагестан;26739
Северо-Кавказский федеральный округ;Республика Ингушетия;14683
Северо-Кавказский федеральный округ;Кабардино-Балкарская Республика;19108
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;17255
Северо-Кавказский федеральный округ;Республика Северная Осетия - Алания;22007
Северо-Кавказский федеральный округ;Чеченская Республика;22914
Северо-Кавказский федеральный округ;Ставропольский край;22971
Приволжский федеральный округ;Республика Башкортостан;27744
Приволжский федеральный округ;Республика Марий Эл;18533
Приволжский федеральный округ;Республика Мордовия;17878
Приволжский федеральный округ;Республика Татарстан;32163
Приволжский федеральный округ;Удмуртская Республика;24465
Приволжский федеральный округ;Чувашская Республика;18492
Приволжский федеральный округ;Пермский край;32053
Приволжский федеральный округ;Кировская область;22170
Приволжский федеральный округ;Нижегородская область;30837
Приволжский федеральный округ;Оренбургская область;22948
Приволжский федеральный округ;Пензенская область;21829
Приволжский федеральный округ;Самарская область;27732
Приволжский федеральный округ;Саратовская область;20070
Приволжский федеральный округ;Ульяновская область;22782
Уральский федеральный округ;Курганская область;19151
Уральский федеральный округ;Свердловская область;34820
Уральский федеральный округ;Ханты-Мансийский автономный округ (ХМАО);44538
Уральский федеральный округ;Ямало-Ненецкий автономный округ (ЯНАО);66869
Уральский федеральный округ;Тюменская область без ХМАО и ЯНАО;28950
Уральский федеральный округ;Челябинская область;24584
Сибирский федеральный округ;Республика Алтай;18267
Сибирский федеральный округ;Республика Бурятия;25486
Сибирский федеральный округ;Республика Тыва;15255
Сибирский федеральный округ;Республика Хакасия;20784
Сибирский федеральный округ;Алтайский край;20989
Сибирский федеральный округ;Забайкальский край;23023
Сибирский федеральный округ;Красноярский край;27123
Сибирский федеральный округ;Иркутская область;22458
Сибирский федеральный округ;Кемеровская область;21845
Сибирский федеральный округ;Новосибирская область;24186
Сибирский федеральный округ;Омская область;25858
Сибирский федеральный округ;Томская область;24860
Дальневосточный федеральный округ;Республика Саха (Якутия);37847
Дальневосточный федеральный округ;Камчатский край;41102
Дальневосточный федеральный округ;Приморский край;33018
Дальневосточный федеральный округ;Хабаровский край;36666
Дальневосточный федеральный округ;Амурская область;30232
Дальневосточный федеральный округ;Магаданская область;50262
Дальневосточный федеральный округ;Сахалинская область;49654
Дальневосточный федеральный округ;Еврейская автономный область;24459
Дальневосточный федеральный округ;Чукотский автономный округ;61704
Крымский федеральный округ;Республика Крым;15672
Крымский федеральный округ;г.Севастополь;17892
