Федеральный округ РФ;Субъект РФ;Доходы от предпринимательской деятельности;Оплата труда;Социальные выплаты;Доходы от собственности;Другие доходы (включая скрытую зарплату)
Центральный федеральный округ;Белгородская область;11,2;31,4;19,1;4;34,3
Центральный федеральный округ;Брянская область;10,6;25,6;22,8;3,7;37,3
Центральный федеральный округ;Владимирская область;7;34,3;23,6;5;30,1
Центральный федеральный округ;Воронежская область;10,3;26,9;17,2;3,7;41,9
Центральный федеральный округ;Ивановская область;6,1;28,3;23;4,9;37,7
Центральный федеральный округ;Калужская область;6,6;39,1;20,3;5,2;28,8
Центральный федеральный округ;Костромская область;9,2;31,2;24,2;6,2;29,2
Центральный федеральный округ;Курская область;12,4;30,1;20,8;3,2;33,5
Центральный федеральный округ;Липецкая область;9,9;31,7;19,1;3,5;35,8
Центральный федеральный округ;Московская область;4,4;32,8;14,8;5,1;42,9
Центральный федеральный округ;Орловская область;9,5;32,1;25,4;3,7;29,3
Центральный федеральный округ;Рязанская область;5,4;33;23,6;4,9;33,1
Центральный федеральный округ;Смоленская область;6,4;33,1;21,5;4,1;34,9
Центральный федеральный округ;Тамбовская область;11,9;25,6;21,1;5,6;35,8
Центральный федеральный округ;Тверская область;6,2;33,4;23,8;4,5;32,1
Центральный федеральный округ;Тульская область;8,3;33,5;23;4,3;30,9
Центральный федеральный округ;Ярославская область;4,5;34,1;20,7;6,3;34,4
Центральный федеральный округ;г. Москва;4,5;48,2;12,8;14,9;19,6
Северо-Западный  федеральный округ;Республика Карелия;3,9;44,1;31,1;5;15,9
Северо-Западный  федеральный округ;Республика Коми;6,5;55;22,9;5,8;9,8
Северо-Западный  федеральный округ;Ненецкий автономный округ (НАО);4,4;72,5;16,6;2,2;4,3
Северо-Западный  федеральный округ;Архангельская область без НАО;8,7;41;24,8;5,6;19,9
Северо-Западный  федеральный округ;Вологодская область;6,9;37,6;22,4;5,8;27,3
Северо-Западный  федеральный округ;Калининградская область;4,4;40,8;20,5;6,3;28
Северо-Западный  федеральный округ;Ленинградская область;5,1;41,9;20,4;3,7;28,9
Северо-Западный  федеральный округ;Мурманская область;6,1;58,1;21,7;5,8;8,3
Северо-Западный  федеральный округ;Новгородская область;7,9;36,4;22,5;4,6;28,6
Северо-Западный  федеральный округ;Псковская область;7,4;39,3;24,6;3,7;25
Северо-Западный  федеральный округ;г. Cанкт-Петербург;1,7;46,2;16,2;7,9;28
Южный федеральный округ;Республика Адыгея;5,4;23,7;19,6;2,2;49,1
Южный федеральный округ;Республика Калмыкия;5,2;33,6;29,9;1,8;29,5
Южный федеральный округ;Краснодарский край;13,7;24,4;15,2;4,1;42,6
Южный федеральный округ;Астраханская область;11,7;31,7;17,8;3,5;35,3
Южный федеральный округ;Волгоградская область;13;31,4;23,2;4,1;28,3
Южный федеральный округ;Ростовская область;9,9;27,4;19,7;3,8;39,2
Северо-Кавказский федеральный округ;Республика Дагестан;27,2;10,6;11,1;0,6;50,5
Северо-Кавказский федеральный округ;Республика Ингушетия;12,9;21,2;29,1;0,6;36,2
Северо-Кавказский федеральный округ;Кабардино-Балкарская Республика;16;21,1;16,6;1,6;44,7
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;11,5;25,4;23,3;1,6;38,2
Северо-Кавказский федеральный округ;Республика Северная Осетия - Алания;16,5;26,1;21,1;1,5;34,8
Северо-Кавказский федеральный округ;Чеченская Республика;7,5;22,4;21,6;0,2;48,3
Северо-Кавказский федеральный округ;Ставропольский край;12,5;29;19,1;4,4;35
Приволжский федеральный округ;Республика Башкортостан;12,6;28,5;16,4;3,7;38,8
Приволжский федеральный округ;Республика Марий Эл;7;37,5;26,5;5;24
Приволжский федеральный округ;Республика Мордовия;7,5;39,1;26,8;3,5;23,1
Приволжский федеральный округ;Республика Татарстан;10;33,1;15,3;3,7;37,9
Приволжский федеральный округ;Удмуртская Республика;4,3;36,6;21;4,9;33,2
Приволжский федеральный округ;Чувашская Республика;7;34,9;24,6;6,5;27
Приволжский федеральный округ;Пермский край;8,5;30,3;16,4;5,3;39,5
Приволжский федеральный округ;Кировская область;7,2;36,1;25,4;4,1;27,2
Приволжский федеральный округ;Нижегородская область;5,1;33,2;18,2;4,8;38,7
Приволжский федеральный округ;Оренбургская область;9;38,5;22;3,1;27,4
Приволжский федеральный округ;Пензенская область;8,7;33,8;22,8;3,3;31,4
Приволжский федеральный округ;Самарская область;6,5;35,8;19,7;5,4;32,6
Приволжский федеральный округ;Саратовская область;6,8;33,1;24,1;4,4;31,6
Приволжский федеральный округ;Ульяновская область;7,4;32,2;23,6;3,4;33,4
Уральский федеральный округ;Курганская область;9,2;36,5;29;4,2;21,1
Уральский федеральный округ;Свердловская область;10,9;35,1;16,8;5,5;31,7
Уральский федеральный округ;Ханты-Мансийский автономный округ (ХМАО);7,2;67,1;16,2;5,2;4,3
Уральский федеральный округ;Ямало-Ненецкий автономный округ (ЯНАО);5,9;76,1;11,2;2,8;4
Уральский федеральный округ;Тюменская область без ХМАО и ЯНАО;8,4;41,4;17,8;5,8;26,6
Уральский федеральный округ;Челябинская область;7,3;41,3;21,8;5,1;24,5
Сибирский федеральный округ;Республика Алтай;9,9;34,9;27,6;3,2;24,4
Сибирский федеральный округ;Республика Бурятия;13,5;31,3;18,9;2,1;34,2
Сибирский федеральный округ;Республика Тыва;10,4;44,8;32,4;2,1;10,3
Сибирский федеральный округ;Республика Хакасия;14,4;41,3;23,6;3,8;16,9
Сибирский федеральный округ;Алтайский край;8,4;29,5;24,5;4,9;32,7
Сибирский федеральный округ;Забайкальский край;12,6;44,2;20,9;2,4;19,9
Сибирский федеральный округ;Красноярский край;8,2;51,7;21,3;4,1;14,7
Сибирский федеральный округ;Иркутская область;4,7;50,6;25,6;6;13,1
Сибирский федеральный округ;Кемеровская область;4,9;44,1;26,5;6;18,5
Сибирский федеральный округ;Новосибирская область;3,5;40,3;21,4;5,8;29
Сибирский федеральный округ;Омская область;6,6;33,8;19,2;3,6;36,8
Сибирский федеральный округ;Томская область;8,7;43,9;23,1;5,6;18,7
Дальневосточный федеральный округ;Республика Саха (Якутия);14,5;56;19,3;3,2;7
Дальневосточный федеральный округ;Камчатский край;5,1;60,6;22,2;5,5;6,6
Дальневосточный федеральный округ;Приморский край;8,3;37,4;16,6;3,7;34
Дальневосточный федеральный округ;Хабаровский край;9,1;50,1;17,7;3,6;19,5
Дальневосточный федеральный округ;Амурская область;9,1;41,6;19,3;2,9;27,1
Дальневосточный федеральный округ;Магаданская область;5,4;69,3;17,6;5,9;1,8
Дальневосточный федеральный округ;Сахалинская область;10,4;50,9;17,5;3,7;17,5
Дальневосточный федеральный округ;Еврейская автономный область;14;41,5;20,8;2,7;21
Дальневосточный федеральный округ;Чукотский автономный округ;1,1;77,5;15,2;3,2;3
Крымский федеральный округ;Республика Крым;21,2;27,5;25,3;1,2;24,8
Крымский федеральный округ;г.Севастополь;16,1;29,2;22,4;1,5;30,8
