Люксембург;103187
Швейцария;82178
Катар;78829
Норвегия;76266
США;55904
Сингапур;53224
Австралия;51642
Дания;51424
Исландия;51068
Сан-Марино;49139
Швеция;48966
Ирландия;48940
Нидерланды;44333
Великобритания;44118
Канада;43935
Австрия;43547
Финляндия;42159
Германия;41267
Бельгия;40456
Франция;37728
Новая Зеландия;36963
Израиль;35702
ОАЭ;35392
Япония;32481
Кувейт;29983
Италия;29847
Бруней Даруссалам;27759
Южная Корея;27513
Испания;26327
Багамы;24394
Бахрейн;23899
Тайвань;22083
Мальта;21540
Кипр;21531
Словения;20712
Тринидад и Тобаго;20380
Саудовская Аравия;20139
Португалия;18984
Греция;17657
Эстония;17425
Чешская Республика;17330
Уругвай;16092
Барбадос;15912
Словакия;15893
Оман;15672
Сент-Киттс и Невис;14618
Палау;14600
Сейшельские о-ва;14466
Антигуа и Барбуда;14391
Литва;14318
Латвия;13729
Аргентина;13428
Чили;13331
Польша;12662
Экваториальная Гвинея;12541
Венгрия;12021
Ливан;11945
Панама;11850
Хорватия;11551
Казахстан;11028
Коста-Рика;10672
Малайзия;10073
Мексика;9592
Турция;9290
Маврикий;9187
Суринам;9052
Гренада;8971
Румыния;8807
Бразилия;8802
Мальдивские о-ва;8714
Габон;8581
Россия;8447
Сент-Люсия;8410
Китай;8280
Остров Доминика;7602
Туркменистан;7534
Сент-Винсент и Гренадины;6959
Азербайджан;6794
Доминиканская Республика;6664
Беларусь;6583
Болгария;6582
Черногория;6373
Ботсвана;6150
Эквадор;6077
Намибия;5787
ЮАР;5784
Колумбия;5687
Перу;5638
Иордания;5600
Тайланд;5426
Сербия;5102
Фиджи;5086
Иран;5048
Ямайка;4912
Македония;4867
Белиз;4842
Ливия;4754
Ирак;4694
Самоа;4481
Алжир;4345
Тонга;4311
Венесуэла;4263
Албания;4200
Монголия;4179
Парагвай;4142
Ангола;4062
Босния;4030
Сальвадор;4023
Гайана;3993
Тунис;3985
Гватемала;3886
Свазиленд;3848
Шри-Ланка;3768
Грузия;3720
Армения;3547
Маршалловы о-ва;3527
Индонезия;3416
Восточный Тимор;3330
Египет;3304;2014
Тувалу;3130
Острова Зеленого Мыса;3127
Марокко;3077
Микронезия;2970
Филиппины;2951
Боливия;2915
Вануату;2872
Бутан;2837
Сирийская Арабская Республика;2807
Нигерия;2758
Гондурас;2365
Папуа - Новая Гвинея;2332
Судан;2194
Вьетнам;2171
Узбекистан;2130
Украина;2109
Соломонские острова;2050
Конго;2031
Никарагуа;1965
Джибути;1805
Лаос;1785
Молдова;1740
Индия;1688
Сан-Томе и Принсипе;1606
Замбия;1576
Кирибати;1443
Кения;1432
Пакистан;1427
Гана;1401
Кот-д'Ивуар;1319
Мьянма;1269
Бангладеш;1266
Мавритания;1262
Йемен;1235
Камерун;1234
Кыргызстан;1198
Камбоджа;1140
Южный Судан;1083
Лесото;1063
Зимбабве;1037
Чад;1011
Танзания;969
Таджикистан;949
Сенегал;935
Гаити;830
Непал;751
Руанда;743
Коморские о-ва;737
Бенин;709
Эфиопия;702
Сьерра-Леоне;675
Мали;672
Буркина Фасо;631
Эритрея;630
Мозамбик;626
Уганда;625
Афганистан;615
Гвинея-Биссау;582
Того;578
Гвинея;546
Заир;478
Либерия;469
Нигерия;403
Мадагаскар;393
Гамбия;384
Малави;353
ЦАР;339
Бурунди;315
